q,k,mated
052203L_20180131_2_1_2_csafe_hanrahan.tiff,019546L_20180228_2_2_2_csafe_boekhoff.tiff,False
133101R_20180221_2_2_1_csafe_tpashek.tiff,132596R_20180404_2_2_1_csafe_tpashek.tiff,False
155765L_20180226_2_1_2_csafe_bpbryson.tiff,016503L_20180305_2_2_1_csafe_bpbryson.tiff,False
020544L_20180124_2_1_1_csafe_tpashek.tiff,040639L_20180307_2_2_1_csafe_boekhoff.tiff,False
047902R_20180131_2_1_1_csafe_hanrahan.tiff,075110R_20180321_2_1_2_csafe_boekhoff.tiff,False
110978R_20180214_2_1_1_csafe_tpashek.tiff,119819R_20180328_2_1_2_csafe_boekhoff.tiff,False
129401L_20180221_2_2_2_csafe_tpashek.tiff,014450L_20180228_2_2_2_csafe_boekhoff.tiff,False
121935R_20180221_2_1_1_csafe_hanrahan.tiff,087785R_20180321_2_1_1_csafe_tpashek.tiff,False
100845L_20180214_2_1_2_csafe_hanrahan.tiff,068320L_20180321_2_1_1_csafe_tpashek.tiff,False
093150L_20180214_2_2_1_csafe_tpashek.tiff,061703L_20180321_2_2_2_csafe_tpashek.tiff,False
148647R_20180221_2_1_2_csafe_tpashek.tiff,134336R_20180404_2_1_2_csafe_tpashek.tiff,False
081815L_20180131_2_2_2_csafe_hanrahan.tiff,053470L_20180307_2_1_2_csafe_boekhoff.tiff,False
049490R_20180131_2_1_2_csafe_jekruse.tiff,144088R_20180409_2_2_1_csafe_bpbryson.tiff,False
077082L_20180207_2_2_1_csafe_jekruse.tiff,138246L_20180409_2_2_1_csafe_bpbryson.tiff,False
044022R_20180131_2_1_2_csafe_jekruse.tiff,077778R_20180321_2_2_1_csafe_jekruse.tiff,False
151871L_20180226_2_1_1_csafe_bpbryson.tiff,037549L_20180319_2_1_2_csafe_bpbryson.tiff,False
095995R_20180214_2_1_1_csafe_hanrahan.tiff,108236R_20180328_2_1_1_csafe_tpashek.tiff,False
040639L_20180131_2_2_1_csafe_hanrahan.tiff,095301L_20180328_2_1_2_csafe_tpashek.tiff,False
148647R_20180221_2_1_1_csafe_tpashek.tiff,095995R_20180328_2_1_1_csafe_tpashek.tiff,False
